"GPCRs
(UniProt)","GPCRs
(Gene name)",Receptor family,Ligand type,Class
5HT1A,HTR1A,5-Hydroxytryptamine receptors,Aminergic receptors,Class A (Rhodopsin)
5HT1B,HTR1B,5-Hydroxytryptamine receptors,Aminergic receptors,Class A (Rhodopsin)
5HT1D,HTR1D,5-Hydroxytryptamine receptors,Aminergic receptors,Class A (Rhodopsin)
5HT1E,HTR1E,5-Hydroxytryptamine receptors,Aminergic receptors,Class A (Rhodopsin)
5HT1F,HTR1F,5-Hydroxytryptamine receptors,Aminergic receptors,Class A (Rhodopsin)
5HT2A,HTR2A,5-Hydroxytryptamine receptors,Aminergic receptors,Class A (Rhodopsin)
5HT2B,HTR2B,5-Hydroxytryptamine receptors,Aminergic receptors,Class A (Rhodopsin)
5HT2C,HTR2C,5-Hydroxytryptamine receptors,Aminergic receptors,Class A (Rhodopsin)
5HT4R,HTR4,5-Hydroxytryptamine receptors,Aminergic receptors,Class A (Rhodopsin)
5HT5A,HTR5A,5-Hydroxytryptamine receptors,Aminergic receptors,Class A (Rhodopsin)
5HT6R,HTR6,5-Hydroxytryptamine receptors,Aminergic receptors,Class A (Rhodopsin)
5HT7R,HTR7,5-Hydroxytryptamine receptors,Aminergic receptors,Class A (Rhodopsin)
ACKR1,ACKR1,Chemokine receptors,Protein receptors,Class A (Rhodopsin)
ACKR2,ACKR2,Chemokine receptors,Protein receptors,Class A (Rhodopsin)
ACKR3,ACKR3,Chemokine receptors,Protein receptors,Class A (Rhodopsin)
ACKR4,ACKR4,Chemokine receptors,Protein receptors,Class A (Rhodopsin)
ACM1,CHRM1,Acetylcholine receptors (muscarinic),Aminergic receptors,Class A (Rhodopsin)
ACM2,CHRM2,Acetylcholine receptors (muscarinic),Aminergic receptors,Class A (Rhodopsin)
ACM3,CHRM3,Acetylcholine receptors (muscarinic),Aminergic receptors,Class A (Rhodopsin)
ACM4,CHRM4,Acetylcholine receptors (muscarinic),Aminergic receptors,Class A (Rhodopsin)
ACM5,CHRM5,Acetylcholine receptors (muscarinic),Aminergic receptors,Class A (Rhodopsin)
ACTHR,MC2R,Melanocortin receptors,Peptide receptors,Class A (Rhodopsin)
ADA1A,ADRA1A,Adrenoceptors,Aminergic receptors,Class A (Rhodopsin)
ADA1B,ADRA1B,Adrenoceptors,Aminergic receptors,Class A (Rhodopsin)
ADA1D,ADRA1D,Adrenoceptors,Aminergic receptors,Class A (Rhodopsin)
ADA2A,ADRA2A,Adrenoceptors,Aminergic receptors,Class A (Rhodopsin)
ADA2B,ADRA2B,Adrenoceptors,Aminergic receptors,Class A (Rhodopsin)
ADA2C,ADRA2C,Adrenoceptors,Aminergic receptors,Class A (Rhodopsin)
ADRB1,ADRB1,Adrenoceptors,Aminergic receptors,Class A (Rhodopsin)
ADRB2,ADRB2,Adrenoceptors,Aminergic receptors,Class A (Rhodopsin)
ADRB3,ADRB3,Adrenoceptors,Aminergic receptors,Class A (Rhodopsin)
AGTR1,AGTR1,Angiotensin receptors,Peptide receptors,Class A (Rhodopsin)
AGTR2,AGTR2,Angiotensin receptors,Peptide receptors,Class A (Rhodopsin)
APJ,APLNR,Apelin receptors,Peptide receptors,Class A (Rhodopsin)
BKRB1,BDKRB1,Bradykinin receptors,Peptide receptors,Class A (Rhodopsin)
BKRB2,BDKRB2,Bradykinin receptors,Peptide receptors,Class A (Rhodopsin)
BRS3,BRS3,Bombesin receptors,Peptide receptors,Class A (Rhodopsin)
C3AR,C3AR1,Complement peptide receptors,Peptide receptors,Class A (Rhodopsin)
C5AR1,C5AR1,Complement peptide receptors,Peptide receptors,Class A (Rhodopsin)
C5AR2,C5AR2,Complement peptide receptors,Peptide receptors,Class A (Rhodopsin)
CCKAR,CCKAR,Cholecystokinin receptors,Peptide receptors,Class A (Rhodopsin)
CCR1,CCR1,Chemokine receptors,Protein receptors,Class A (Rhodopsin)
CCR10,CCR10,Chemokine receptors,Protein receptors,Class A (Rhodopsin)
CCR2,CCR2,Chemokine receptors,Protein receptors,Class A (Rhodopsin)
CCR3,CCR3,Chemokine receptors,Protein receptors,Class A (Rhodopsin)
CCR4,CCR4,Chemokine receptors,Protein receptors,Class A (Rhodopsin)
CCR5,CCR5,Chemokine receptors,Protein receptors,Class A (Rhodopsin)
CCR6,CCR6,Chemokine receptors,Protein receptors,Class A (Rhodopsin)
CCR7,CCR7,Chemokine receptors,Protein receptors,Class A (Rhodopsin)
CCR8,CCR8,Chemokine receptors,Protein receptors,Class A (Rhodopsin)
CCR9,CCR9,Chemokine receptors,Protein receptors,Class A (Rhodopsin)
CCRL2,CCRL2,Chemokine receptors,Protein receptors,Class A (Rhodopsin)
CLTR1,CYSLTR1,Leukotriene receptors,Lipid receptors,Class A (Rhodopsin)
CLTR2,CYSLTR2,Leukotriene receptors,Lipid receptors,Class A (Rhodopsin)
CML1,CMKLR1,Chemerin receptor,Protein receptors,Class A (Rhodopsin)
CML2,CMKLR2,Chemerin receptor,Protein receptors,Class A (Rhodopsin)
CNR1,CNR1,Cannabinoid receptors,Lipid receptors,Class A (Rhodopsin)
CNR2,CNR2,Cannabinoid receptors,Lipid receptors,Class A (Rhodopsin)
CX3C1,CX3CR1,Chemokine receptors,Protein receptors,Class A (Rhodopsin)
CXCR1,CXCR1,Chemokine receptors,Protein receptors,Class A (Rhodopsin)
CXCR2,CXCR2,Chemokine receptors,Protein receptors,Class A (Rhodopsin)
CXCR3,CXCR3,Chemokine receptors,Protein receptors,Class A (Rhodopsin)
CXCR4,CXCR4,Chemokine receptors,Protein receptors,Class A (Rhodopsin)
CXCR5,CXCR5,Chemokine receptors,Protein receptors,Class A (Rhodopsin)
CXCR6,CXCR6,Chemokine receptors,Protein receptors,Class A (Rhodopsin)
DRD1,DRD1,Dopamine receptors,Aminergic receptors,Class A (Rhodopsin)
DRD2,DRD2,Dopamine receptors,Aminergic receptors,Class A (Rhodopsin)
DRD3,DRD3,Dopamine receptors,Aminergic receptors,Class A (Rhodopsin)
DRD4,DRD4,Dopamine receptors,Aminergic receptors,Class A (Rhodopsin)
DRD5,DRD5,Dopamine receptors,Aminergic receptors,Class A (Rhodopsin)
EDNRA,EDNRA,Endothelin receptors,Peptide receptors,Class A (Rhodopsin)
EDNRB,EDNRB,Endothelin receptors,Peptide receptors,Class A (Rhodopsin)
FFAR1,FFAR1,Free fatty acid receptors,Lipid receptors,Class A (Rhodopsin)
FFAR2,FFAR2,Free fatty acid receptors,Lipid receptors,Class A (Rhodopsin)
FFAR3,FFAR3,Free fatty acid receptors,Lipid receptors,Class A (Rhodopsin)
FFAR4,FFAR4,Free fatty acid receptors,Lipid receptors,Class A (Rhodopsin)
FPR1,FPR1,Formylpeptide receptors,Peptide receptors,Class A (Rhodopsin)
FPR2,FPR2,Formylpeptide receptors,Peptide receptors,Class A (Rhodopsin)
FPR3,FPR3,Formylpeptide receptors,Peptide receptors,Class A (Rhodopsin)
FSHR,FSHR,Glycoprotein hormone receptors,Protein receptors,Class A (Rhodopsin)
G37L1,GPR37L1,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GALR1,GALR1,Galanin receptors,Peptide receptors,Class A (Rhodopsin)
GALR2,GALR2,Galanin receptors,Peptide receptors,Class A (Rhodopsin)
GALR3,GALR3,Galanin receptors,Peptide receptors,Class A (Rhodopsin)
GASR,CCKBR,Cholecystokinin receptors,Peptide receptors,Class A (Rhodopsin)
GHSR,GHSR,Ghrelin receptors,Peptide receptors,Class A (Rhodopsin)
GNRHR,GNRHR,Gonadotrophin-releasing hormone receptors,Peptide receptors,Class A (Rhodopsin)
GP101,GPR101,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GP119,GPR119,"GPR18, GPR55 and GPR119",Lipid receptors,Class A (Rhodopsin)
GP132,GPR132,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GP135,GPR135,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GP139,GPR139,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GP141,GPR141,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GP142,GPR142,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GP146,GPR146,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GP148,GPR148,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GP149,GPR149,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GP150,GPR150,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GP151,GPR151,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GP152,GPR152,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GP153,GPR153,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GP160,GPR160,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GP161,GPR161,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GP162,GPR162,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GP171,GPR171,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GP173,GPR173,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GP174,GPR174,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GP176,GPR176,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GP182,GPR182,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GP183,GPR183,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GPBAR,GPBAR1,Bile acid receptors,Steroid receptors,Class A (Rhodopsin)
GPER1,GPER1,Estrogen (G protein-coupled) receptors,Steroid receptors,Class A (Rhodopsin)
GPR12,GPR12,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GPR15,GPR15,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GPR17,GPR17,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GPR18,GPR18,"GPR18, GPR55 and GPR119",Lipid receptors,Class A (Rhodopsin)
GPR19,GPR19,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GPR20,GPR20,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GPR21,GPR21,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GPR22,GPR22,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GPR25,GPR25,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GPR26,GPR26,Class A orphans,Orphan receptors,Class A (Rhodopsin)
